,tile_name,id,geometry_x,Total_Building_Count,Residential_Count,Non_Residential_Count,Mixed_Count,Unclassified_Count,Unknown_Count,Damage,Depth
0,TG1507,841508,"POLYGON ((615000 307000, 616000 307000, 616000 308000, 615000 308000, 615000 307000))",2,0,0,0,0,2,325,0.055
1,TG1508,841509,"POLYGON ((615000 308000, 616000 308000, 616000 309000, 615000 309000, 615000 308000))",32,25,1,0,0,6,60066,0.0900313
2,TG1509,841510,"POLYGON ((615000 309000, 616000 309000, 616000 310000, 615000 310000, 615000 309000))",11,2,0,0,0,9,58441,0.114909
3,TG1510,841511,"POLYGON ((615000 310000, 616000 310000, 616000 311000, 615000 311000, 615000 310000))",12,7,2,0,0,3,28832,0.152667
4,TG1511,841512,"POLYGON ((615000 311000, 616000 311000, 616000 312000, 615000 312000, 615000 311000))",7,0,4,0,0,3,307954,0.532571
5,TG1606,841607,"POLYGON ((616000 306000, 617000 306000, 617000 307000, 616000 307000, 616000 306000))",10,8,2,0,0,0,17023,0.1163
6,TG1607,841608,"POLYGON ((616000 307000, 617000 307000, 617000 308000, 616000 308000, 616000 307000))",40,32,1,0,0,7,192051,0.270125
7,TG1608,841609,"POLYGON ((616000 308000, 617000 308000, 617000 309000, 616000 309000, 616000 308000))",10,6,1,0,0,3,154991,0.3106
8,TG1609,841610,"POLYGON ((616000 309000, 617000 309000, 617000 310000, 616000 310000, 616000 309000))",19,16,0,0,0,3,72858,0.164737
9,TG1610,841611,"POLYGON ((616000 310000, 617000 310000, 617000 311000, 616000 311000, 616000 310000))",112,81,0,0,0,31,214676,0.146241
10,TG1611,841612,"POLYGON ((616000 311000, 617000 311000, 617000 312000, 616000 312000, 616000 311000))",106,58,1,2,0,45,265063,0.185821
11,TG1705,841706,"POLYGON ((617000 305000, 618000 305000, 618000 306000, 617000 306000, 617000 305000))",2,1,0,0,0,1,1766,0.0355
12,TG1706,841707,"POLYGON ((617000 306000, 618000 306000, 618000 307000, 617000 307000, 617000 306000))",21,18,1,0,0,2,151700,0.266286
13,TG1707,841708,"POLYGON ((617000 307000, 618000 307000, 618000 308000, 617000 308000, 617000 307000))",88,49,0,0,0,39,623006,0.188011
14,TG1708,841709,"POLYGON ((617000 308000, 618000 308000, 618000 309000, 617000 309000, 617000 308000))",69,57,0,0,0,12,276545,0.180319
15,TG1709,841710,"POLYGON ((617000 309000, 618000 309000, 618000 310000, 617000 310000, 617000 309000))",273,158,36,1,0,78,1830921,0.202004
16,TG1710,841711,"POLYGON ((617000 310000, 618000 310000, 618000 311000, 617000 311000, 617000 310000))",153,90,3,0,0,60,435398,0.17451
17,TG1711,841712,"POLYGON ((617000 311000, 618000 311000, 618000 312000, 617000 312000, 617000 311000))",129,79,3,0,0,47,423225,0.221806
18,TG1804,841805,"POLYGON ((618000 304000, 619000 304000, 619000 305000, 618000 305000, 618000 304000))",22,19,0,0,0,3,244349,0.380409
19,TG1805,841806,"POLYGON ((618000 305000, 619000 305000, 619000 306000, 618000 306000, 618000 305000))",54,36,2,0,0,16,114832,0.150241
20,TG1806,841807,"POLYGON ((618000 306000, 619000 306000, 619000 307000, 618000 307000, 618000 306000))",40,26,0,0,0,14,93691,0.24635
21,TG1807,841808,"POLYGON ((618000 307000, 619000 307000, 619000 308000, 618000 308000, 618000 307000))",217,118,21,0,0,78,35172628,0.283263
22,TG1808,841809,"POLYGON ((618000 308000, 619000 308000, 619000 309000, 618000 309000, 618000 308000))",323,253,2,0,0,68,3162406,0.224084
23,TG1809,841810,"POLYGON ((618000 309000, 619000 309000, 619000 310000, 618000 310000, 618000 309000))",251,170,5,1,0,75,768655,0.180004
24,TG1810,841811,"POLYGON ((618000 310000, 619000 310000, 619000 311000, 618000 311000, 618000 310000))",384,226,3,0,0,155,960379,0.151206
25,TG1811,841812,"POLYGON ((618000 311000, 619000 311000, 619000 312000, 618000 312000, 618000 311000))",73,49,2,0,0,22,381045,0.233329
26,TG1812,841813,"POLYGON ((618000 312000, 619000 312000, 619000 313000, 618000 313000, 618000 312000))",4,4,0,0,0,0,455194,1.9825
27,TG1813,841814,"POLYGON ((618000 313000, 619000 313000, 619000 314000, 618000 314000, 618000 313000))",105,62,4,1,0,38,420898,0.4168
28,TG1814,841815,"POLYGON ((618000 314000, 619000 314000, 619000 315000, 618000 315000, 618000 314000))",10,10,0,0,0,0,26036,0.096
29,TG1904,841905,"POLYGON ((619000 304000, 620000 304000, 620000 305000, 619000 305000, 619000 304000))",78,69,0,0,0,9,1017149,0.452577
30,TG1905,841906,"POLYGON ((619000 305000, 620000 305000, 620000 306000, 619000 306000, 619000 305000))",275,173,6,0,0,96,1013952,0.179905
31,TG1906,841907,"POLYGON ((619000 306000, 620000 306000, 620000 307000, 619000 307000, 619000 306000))",213,179,1,1,0,32,1932796,0.196131
32,TG1907,841908,"POLYGON ((619000 307000, 620000 307000, 620000 308000, 619000 308000, 619000 307000))",198,92,35,1,0,70,10978311,0.370909
33,TG1908,841909,"POLYGON ((619000 308000, 620000 308000, 620000 309000, 619000 309000, 619000 308000))",344,171,7,5,0,161,624181,0.155392
34,TG1909,841910,"POLYGON ((619000 309000, 620000 309000, 620000 310000, 619000 310000, 619000 309000))",527,404,1,1,0,121,973544,0.151112
35,TG1910,841911,"POLYGON ((619000 310000, 620000 310000, 620000 311000, 619000 311000, 619000 310000))",477,314,0,0,0,163,1596625,0.194237
36,TG1911,841912,"POLYGON ((619000 311000, 620000 311000, 620000 312000, 619000 312000, 619000 311000))",78,40,7,0,0,31,3014730,0.265526
37,TG1912,841913,"POLYGON ((619000 312000, 620000 312000, 620000 313000, 619000 313000, 619000 312000))",121,72,2,0,0,47,271033,0.114554
38,TG1913,841914,"POLYGON ((619000 313000, 620000 313000, 620000 314000, 619000 314000, 619000 313000))",48,41,0,0,0,7,187538,0.239229
39,TG1914,841915,"POLYGON ((619000 314000, 620000 314000, 620000 315000, 619000 315000, 619000 314000))",31,28,0,0,0,3,177735,0.211516
40,TG1915,841916,"POLYGON ((619000 315000, 620000 315000, 620000 316000, 619000 316000, 619000 315000))",21,8,0,0,0,13,38173,0.138143
41,TG2003,842004,"POLYGON ((620000 303000, 621000 303000, 621000 304000, 620000 304000, 620000 303000))",4,0,0,0,0,4,15981,0.3015
42,TG2004,842005,"POLYGON ((620000 304000, 621000 304000, 621000 305000, 620000 305000, 620000 304000))",88,73,1,1,0,13,890014,0.315375
43,TG2005,842006,"POLYGON ((620000 305000, 621000 305000, 621000 306000, 620000 306000, 620000 305000))",201,158,0,0,0,43,1106928,0.164821
44,TG2006,842007,"POLYGON ((620000 306000, 621000 306000, 621000 307000, 620000 307000, 620000 306000))",423,271,3,3,0,146,1069698,0.191478
45,TG2007,842008,"POLYGON ((620000 307000, 621000 307000, 621000 308000, 620000 308000, 620000 307000))",320,175,2,1,0,142,1127295,0.191169
46,TG2008,842009,"POLYGON ((620000 308000, 621000 308000, 621000 309000, 620000 309000, 620000 308000))",124,52,10,19,0,43,2323678,0.175758
47,TG2009,842010,"POLYGON ((620000 309000, 621000 309000, 621000 310000, 620000 310000, 620000 309000))",341,250,6,2,0,83,3477390,0.310238
48,TG2010,842011,"POLYGON ((620000 310000, 621000 310000, 621000 311000, 620000 311000, 620000 310000))",116,28,27,0,0,61,1487936,0.157569
49,TG2011,842012,"POLYGON ((620000 311000, 621000 311000, 621000 312000, 620000 312000, 620000 311000))",119,61,26,0,0,32,10096209,0.438597
50,TG2012,842013,"POLYGON ((620000 312000, 621000 312000, 621000 313000, 620000 313000, 620000 312000))",222,113,1,3,0,105,343299,0.171072
51,TG2013,842014,"POLYGON ((620000 313000, 621000 313000, 621000 314000, 620000 314000, 620000 313000))",20,16,0,0,0,4,100503,0.16835
52,TG2014,842015,"POLYGON ((620000 314000, 621000 314000, 621000 315000, 620000 315000, 620000 314000))",72,72,0,0,0,0,499835,0.286444
53,TG2015,842016,"POLYGON ((620000 315000, 621000 315000, 621000 316000, 620000 316000, 620000 315000))",22,11,0,0,0,11,97156,0.188091
54,TG2104,842105,"POLYGON ((621000 304000, 622000 304000, 622000 305000, 621000 305000, 621000 304000))",105,95,1,0,0,9,737855,0.270714
55,TG2105,842106,"POLYGON ((621000 305000, 622000 305000, 622000 306000, 621000 306000, 621000 305000))",386,358,0,0,0,28,3900430,0.217275
56,TG2106,842107,"POLYGON ((621000 306000, 622000 306000, 622000 307000, 621000 307000, 621000 306000))",114,70,2,0,0,42,610358,0.152596
57,TG2107,842108,"POLYGON ((621000 307000, 622000 307000, 622000 308000, 621000 308000, 621000 307000))",364,229,12,23,0,100,943714,0.202052
58,TG2108,842109,"POLYGON ((621000 308000, 622000 308000, 622000 309000, 621000 309000, 621000 308000))",1328,906,22,30,0,370,3035555,0.293525
59,TG2109,842110,"POLYGON ((621000 309000, 622000 309000, 622000 310000, 621000 310000, 621000 309000))",366,219,15,10,0,122,1058552,0.133071
60,TG2110,842111,"POLYGON ((621000 310000, 622000 310000, 622000 311000, 621000 311000, 621000 310000))",394,270,16,6,0,102,2809189,0.166462
61,TG2111,842112,"POLYGON ((621000 311000, 622000 311000, 622000 312000, 621000 312000, 621000 311000))",237,112,17,2,0,106,1734430,0.175443
62,TG2112,842113,"POLYGON ((621000 312000, 622000 312000, 622000 313000, 621000 313000, 621000 312000))",136,66,9,1,0,60,1050184,0.222096
